code,name,latest_price,pct_chg,price_change,volume,amount,high,low,open,prev_close,turnover_rate,fetched_at
511880,银华日利ETF,100.512,0.01,0.011,1109779,11153556744.0,100.514,100.496,100.498,100.501,13.02,2026-06-04T19:41:54
513310,中韩半导体ETF华泰柏瑞,5.974,-2.64,-0.162,14819100,8940850616.0,6.228,5.91,6.15,6.136,66.03,2026-06-04T19:41:54
511990,华宝添益ETF,100.001,0.0,0.001,655769,6557716021.0,100.003,99.998,99.998,100.0,8.67,2026-06-04T19:41:54
588200,科创芯片ETF嘉实,3.622,1.43,0.051,12778011,4615046980.0,3.665,3.495,3.495,3.571,10.07,2026-06-04T19:41:54
159338,中证A500ETF国泰,1.296,-0.69,-0.009,34969856,4538752774.768,1.304,1.291,1.294,1.305,18.37,2026-06-04T19:41:54
515880,通信ETF国泰,1.708,-0.47,-0.008,26035313,4439109346.0,1.723,1.675,1.675,1.716,12.6,2026-06-04T19:41:54
159915,创业板ETF易方达,4.1,-1.09,-0.045,10599121,4344953805.909,4.131,4.065,4.074,4.145,10.52,2026-06-04T19:41:54
588000,科创50ETF华夏,1.832,0.49,0.009,22853730,4188280582.0,1.856,1.789,1.794,1.823,6.86,2026-06-04T19:41:54
563360,A500ETF华泰柏瑞,1.368,-0.73,-0.01,29908702,4100654846.0,1.377,1.362,1.365,1.378,12.95,2026-06-04T19:41:54
513090,香港证券ETF易方达,1.76,-1.57,-0.028,19711471,3486565232.0,1.794,1.753,1.776,1.788,17.71,2026-06-04T19:41:54
513350,标普油气ETF富国,1.263,-1.48,-0.019,25878704,3327673879.0,1.313,1.258,1.267,1.282,302.06,2026-06-04T19:41:54
513130,恒生科技ETF华泰柏瑞,0.619,-1.59,-0.01,52669114,3266391899.0,0.624,0.617,0.621,0.629,7.33,2026-06-04T19:41:54
513120,港股创新药ETF广发,1.03,-0.87,-0.009,31283367,3234127574.0,1.052,1.021,1.044,1.039,14.16,2026-06-04T19:41:54
510300,沪深300ETF华泰柏瑞,4.926,-0.79,-0.039,6097283,3006706301.0,4.961,4.91,4.919,4.965,2.17,2026-06-04T19:41:54
513180,恒生科技ETF华夏,0.631,-1.56,-0.01,42517224,2685924797.0,0.636,0.628,0.633,0.641,5.63,2026-06-04T19:41:54
159352,A500ETF南方,1.349,-0.52,-0.007,19833686,2677188796.53,1.356,1.342,1.342,1.356,8.98,2026-06-04T19:41:54
